timestamp,farmerId,eventType,disease,cropType,co2SavedKg,waterSavedLiters,location,incomeImpactKsh,adviceGiven,conversationId
2025-11-26T00:33:42.698Z,anon,image_diagnosis,Detected from photo,,0.8,250,Kenya,0,"Asante kwa kutuma picha! Hapa naona nyanya zimeathirika na ugonjwa unaoitwa **Early Blight** (Madoa ya rangi ya kahawia au nyeusi kwenye matunda na majani), unaosababishwa na fangasi aitwaye *Alternaria solani*.

**Dalili:**
- Madoa meusi au kahawia kwenye matunda na majani.
- Majani yanakauka na kudhoofika.
- Matunda yanaharibika na kuoza.

---

### Matibabu na Udhibiti

1. **Ondoa mimea iliyoathirika:** Kata na teketeza majani na matunda yaliyoathirika ili kuzuia kuenea kwa ugonjwa.
2. **Tumia",
2025-11-26T00:34:43.524Z,anon,voice_text,None,,0.4,100,Kenya,0,"Usiku mwema rafiki! Kama una swali lolote kuhusu kilimo au mimea yako, usisite kuuliza. Lala salama na uwe na ndoto njema!",
2025-11-26T07:04:41.278Z,anon,voice_text,None,,0.4,100,Kenya,0,"Habari ya asubuhi! Karibu sana. Naweza kukusaidiaje leo kwenye shamba lako? Una tatizo la mimea, magonjwa, au unataka ushauri wa kilimo bora? Niambie tu!",
2025-11-26T07:05:50.834Z,anon,voice_text,None,,0.4,100,Kenya,0,"Habari! Karibu sana. Mimi ni JinsiAI, daktari wa kilimo. Naweza kusaidia kugundua magonjwa ya mimea, kutoa tiba za kienyeji, na kukupa ushauri wa kuokoa maji na kupunguza hewa chafu shambani. Ungependa kujua nini leo?",
2025-11-26T07:06:23.745Z,anon,image_diagnosis,Detected from photo,,0.8,250,Kenya,0,"Asante kwa kutuma picha ya mmea wako. Hapa naona dalili za ugonjwa kwenye majani ya mboga, hasa kabichi. Majani yana madoa ya kahawia na yanakauka pembeni. Hii mara nyingi ni dalili ya **kutu ya majani (Leaf Spot/Bacterial Leaf Spot)** au **fungus ya Downy Mildew**.

### Ugonjwa:
**Downy Mildew** au **Leaf Spot**  
- Dalili: Madoa ya kahawia au kijivu pembeni ya jani, majani kukauka na kudhoofika.
- Husababishwa na vimelea (fungus) au bakteria, hasa wakati wa baridi na unyevu mwingi.

---

### M",
2025-11-26T12:42:17.480Z,anon,image_diagnosis,Detected from photo,,0.8,250,Kenya,0,"Asante kwa kutuma picha. Hii ni ugonjwa wa tomato unaoitwa **Late Blight** (Kuoza kwa kuchelewa au Kuoza kwa nyanya). Ugonjwa huu husababishwa na fangasi aitwaye *Phytophthora infestans*. Dalili kuu ni nyanya kuoza na kupata madoa meusi, majani kunyauka na kukauka haraka.

### Matibabu na Udhibiti:
1. **Ondoa mimea iliyoathirika:** Katakata na kuchoma majani na matunda yaliyoathirika ili kuzuia kuenea.
2. **Tumia dawa za kuua fangasi:** Tumia fungicide kama Ridomil Gold, Dithane M-45 au Copper o",
2025-11-26T12:48:18.942Z,anon,image_diagnosis,Detected from photo,,0.8,250,Kenya,0,"Asante kwa kutuma picha. Hapa naona dalili za ugonjwa kwenye majani ya mboga, hasa kabichi. Majani yana madoa ya kahawia na yanakauka pembeni. Hii mara nyingi huashiria **ugonjwa wa Blight (Leaf Spot)**, ambao husababishwa na fangasi kama *Alternaria* au *Xanthomonas*.

### Dalili
- Madoa ya kahawia au kijivu pembeni mwa jani
- Majani kukauka na kudhoofika
- Kuenea kwa madoa kwa majani mengine

---

## Matibabu

1. **Ondoa Majani Yaliyoathirika:** Kata na uondoe majani yenye ugonjwa shambani ili",
2025-11-26T12:51:28.932Z,anon,image_diagnosis,Detected from photo,,0.8,250,Kenya,0,"Asante kwa kutuma picha hii. Hii ni mimea ya nyanya iliyoathirika na ugonjwa unaoitwa **Late Blight** (Kuoza kwa kuchelewa au Kuoza kwa majani na matunda), unaosababishwa na fangasi aitwaye *Phytophthora infestans*.

### Dalili
- Matunda yana madoa meusi au ya kahawia, laini na yanayooza.
- Majani yanakauka na kuwa na madoa meusi.
- Ugonjwa huenea haraka wakati wa unyevu na mvua nyingi.

---

### Matibabu na Kinga
1. **Ondoa mimea iliyoathirika:** Katakata na teketeza majani na matunda yaliyoath",
2025-11-26T12:54:53.201Z,anon,voice_text,None,,0.4,100,Kenya,0,"Tomato blight ni ugonjwa unaoathiri mimea ya nyanya, husababishwa na fangasi (fungi) au bakteria. Kuna aina kuu mbili:

1. **Early blight (Blight ya mapema)**  
Husababishwa na fangasi *Alternaria solani*. Dalili ni madoa ya kahawia kwenye majani, mara nyingi yana duara na mistari ya mviringo. Majani yanaanza kunyauka na mimea kudhoofika.

2. **Late blight (Blight ya kuchelewa)**  
Husababishwa na fangasi *Phytophthora infestans*. Dalili ni madoa ya kijivu au kijani kibichi yenye unyevu kwenye m",
2025-11-26T12:55:35.978Z,anon,voice_text,None,,0.4,100,Kenya,0,"Tomato blight ni ugonjwa unaoshambulia nyanya, husababishwa na fangasi (fungus) au bacteria. Kuna aina mbili maarufu:

1. **Early blight (Alternaria solani):**  
   - Dalili: Madoa ya kahawia kwenye majani, mara nyingi yana duara na mistari ya mviringo. Majani yanaweza kunyauka na kuanguka.
   - Hushambulia: Majani, shina, na matunda.

2. **Late blight (Phytophthora infestans):**  
   - Dalili: Madoa ya kijivu au kahawia yenye unyevu kwenye majani, matunda yanaharibika na kuoza haraka.
   - Hush",
